geography,sex,raceethnicity,age,education,response,weight
CA,Male,"WHITE ALONE, NOT HISPANIC OR LATINO",45 to 64 years,Less than high school diploma,38,0.6812546993292442
CA,Female,"WHITE ALONE, NOT HISPANIC OR LATINO",25 to 44 years,High school graduate (includes equivalency),66,1.0688964208838911
CA,Female,BLACK OR AFRICAN AMERICAN ALONE,25 to 44 years,Some college or associate's degree,40,4.461840267249997
CA,Male,HISPANIC OR LATINO,25 to 44 years,Less than high school diploma,9,2.23897167448123
CA,Male,ASIAN ALONE,18 to 24 years,Less than high school diploma,17,7.548626288953496
CA,Female,ASIAN ALONE,65 years and over,Some college or associate's degree,49,7.548626288953496
CA,Male,HISPANIC OR LATINO,65 years and over,Some college or associate's degree,18,2.23897167448123
CA,Female,"WHITE ALONE, NOT HISPANIC OR LATINO",25 to 44 years,Bachelor's degree or higher,49,1.0688964208838911
CA,Male,ASIAN ALONE,45 to 64 years,Some college or associate's degree,17,7.548626288953496
CA,Male,OTHER,25 to 44 years,High school graduate (includes equivalency),19,0.5298126081050952
CA,Female,ASIAN ALONE,45 to 64 years,Less than high school diploma,45,7.548626288953496
CA,Male,"WHITE ALONE, NOT HISPANIC OR LATINO",65 years and over,Bachelor's degree or higher,51,0.6812546993292442
CA,Female,"WHITE ALONE, NOT HISPANIC OR LATINO",45 to 64 years,Bachelor's degree or higher,65,1.0688964208838911
CA,Male,"WHITE ALONE, NOT HISPANIC OR LATINO",45 to 64 years,Less than high school diploma,33,0.6812546993292442
CA,Female,"WHITE ALONE, NOT HISPANIC OR LATINO",25 to 44 years,Less than high school diploma,61,1.0688964208838911
CA,Male,"WHITE ALONE, NOT HISPANIC OR LATINO",25 to 44 years,High school graduate (includes equivalency),28,0.6812546993292442
CA,Male,"WHITE ALONE, NOT HISPANIC OR LATINO",65 years and over,Bachelor's degree or higher,28,0.6812546993292442
CA,Male,"WHITE ALONE, NOT HISPANIC OR LATINO",45 to 64 years,Bachelor's degree or higher,52,0.6812546993292442
CA,Female,"WHITE ALONE, NOT HISPANIC OR LATINO",65 years and over,High school graduate (includes equivalency),56,1.0688964208838911
CA,Female,"WHITE ALONE, NOT HISPANIC OR LATINO",25 to 44 years,Bachelor's degree or higher,48,1.0688964208838911
CA,Female,ASIAN ALONE,65 years and over,High school graduate (includes equivalency),29,7.548626288953496
CA,Male,"WHITE ALONE, NOT HISPANIC OR LATINO",25 to 44 years,High school graduate (includes equivalency),29,0.6812546993292442
CA,Male,"WHITE ALONE, NOT HISPANIC OR LATINO",45 to 64 years,High school graduate (includes equivalency),31,0.6812546993292442
CA,Female,"WHITE ALONE, NOT HISPANIC OR LATINO",25 to 44 years,Bachelor's degree or higher,70,1.0688964208838911
CA,Male,"WHITE ALONE, NOT HISPANIC OR LATINO",65 years and over,Less than high school diploma,28,0.6812546993292442
CA,Male,"WHITE ALONE, NOT HISPANIC OR LATINO",18 to 24 years,Some college or associate's degree,30,0.6812546993292442
CA,Male,HISPANIC OR LATINO,45 to 64 years,Less than high school diploma,17,2.23897167448123
CA,Female,"WHITE ALONE, NOT HISPANIC OR LATINO",25 to 44 years,Bachelor's degree or higher,74,1.0688964208838911
CA,Male,"WHITE ALONE, NOT HISPANIC OR LATINO",45 to 64 years,Bachelor's degree or higher,34,0.6812546993292442
CA,Male,OTHER,65 years and over,High school graduate (includes equivalency),11,0.5298126081050952
CA,Female,"WHITE ALONE, NOT HISPANIC OR LATINO",25 to 44 years,Less than high school diploma,58,1.0688964208838911
CA,Female,"WHITE ALONE, NOT HISPANIC OR LATINO",65 years and over,High school graduate (includes equivalency),62,1.0688964208838911
CA,Male,"WHITE ALONE, NOT HISPANIC OR LATINO",45 to 64 years,Some college or associate's degree,46,0.6812546993292442
CA,Male,"WHITE ALONE, NOT HISPANIC OR LATINO",45 to 64 years,Less than high school diploma,36,0.6812546993292442
CA,Male,"WHITE ALONE, NOT HISPANIC OR LATINO",25 to 44 years,Bachelor's degree or higher,34,0.6812546993292442
CA,Male,"WHITE ALONE, NOT HISPANIC OR LATINO",45 to 64 years,Some college or associate's degree,42,0.6812546993292442
CA,Male,HISPANIC OR LATINO,45 to 64 years,Some college or associate's degree,21,2.23897167448123
CA,Male,"WHITE ALONE, NOT HISPANIC OR LATINO",65 years and over,Some college or associate's degree,33,0.6812546993292442
CA,Female,"WHITE ALONE, NOT HISPANIC OR LATINO",65 years and over,Bachelor's degree or higher,61,1.0688964208838911
CA,Male,OTHER,45 to 64 years,Some college or associate's degree,11,0.5298126081050952
CA,Male,OTHER,45 to 64 years,Less than high school diploma,12,0.5298126081050952
CA,Male,"WHITE ALONE, NOT HISPANIC OR LATINO",45 to 64 years,High school graduate (includes equivalency),38,0.6812546993292442
CA,Male,"WHITE ALONE, NOT HISPANIC OR LATINO",45 to 64 years,Bachelor's degree or higher,21,0.6812546993292442
CA,Male,"WHITE ALONE, NOT HISPANIC OR LATINO",18 to 24 years,Bachelor's degree or higher,35,0.6812546993292442
CA,Female,"WHITE ALONE, NOT HISPANIC OR LATINO",45 to 64 years,High school graduate (includes equivalency),60,1.0688964208838911
CA,Male,HISPANIC OR LATINO,25 to 44 years,Less than high school diploma,16,2.23897167448123
CA,Male,OTHER,65 years and over,Less than high school diploma,13,0.5298126081050952
CA,Male,HISPANIC OR LATINO,45 to 64 years,High school graduate (includes equivalency),12,2.23897167448123
CA,Male,"WHITE ALONE, NOT HISPANIC OR LATINO",18 to 24 years,Some college or associate's degree,37,0.6812546993292442
CA,Male,"WHITE ALONE, NOT HISPANIC OR LATINO",45 to 64 years,Some college or associate's degree,43,0.6812546993292442
CA,Female,"WHITE ALONE, NOT HISPANIC OR LATINO",45 to 64 years,High school graduate (includes equivalency),51,1.0688964208838911
CA,Male,"WHITE ALONE, NOT HISPANIC OR LATINO",25 to 44 years,Less than high school diploma,41,0.6812546993292442
CA,Female,HISPANIC OR LATINO,25 to 44 years,Some college or associate's degree,41,5.106844133308608
CA,Male,"WHITE ALONE, NOT HISPANIC OR LATINO",45 to 64 years,Some college or associate's degree,30,0.6812546993292442
CA,Male,OTHER,45 to 64 years,Less than high school diploma,10,0.5298126081050952
CA,Male,HISPANIC OR LATINO,25 to 44 years,Less than high school diploma,16,2.23897167448123
CA,Male,"WHITE ALONE, NOT HISPANIC OR LATINO",65 years and over,Less than high school diploma,29,0.6812546993292442
CA,Female,"WHITE ALONE, NOT HISPANIC OR LATINO",25 to 44 years,High school graduate (includes equivalency),50,1.0688964208838911
CA,Male,"WHITE ALONE, NOT HISPANIC OR LATINO",25 to 44 years,Some college or associate's degree,39,0.6812546993292442
CA,Female,HISPANIC OR LATINO,65 years and over,Some college or associate's degree,38,5.106844133308608
CA,Male,"WHITE ALONE, NOT HISPANIC OR LATINO",45 to 64 years,Some college or associate's degree,45,0.6812546993292442
CA,Female,"WHITE ALONE, NOT HISPANIC OR LATINO",25 to 44 years,Some college or associate's degree,60,1.0688964208838911
CA,Male,BLACK OR AFRICAN AMERICAN ALONE,45 to 64 years,Bachelor's degree or higher,17,3.4827719211689754
CA,Male,"WHITE ALONE, NOT HISPANIC OR LATINO",25 to 44 years,Some college or associate's degree,44,0.6812546993292442
CA,Male,HISPANIC OR LATINO,45 to 64 years,Bachelor's degree or higher,9,2.23897167448123
CA,Male,"WHITE ALONE, NOT HISPANIC OR LATINO",45 to 64 years,Less than high school diploma,47,0.6812546993292442
CA,Female,"WHITE ALONE, NOT HISPANIC OR LATINO",65 years and over,Less than high school diploma,67,1.0688964208838911
CA,Female,"WHITE ALONE, NOT HISPANIC OR LATINO",45 to 64 years,Some college or associate's degree,51,1.0688964208838911
CA,Male,"WHITE ALONE, NOT HISPANIC OR LATINO",65 years and over,High school graduate (includes equivalency),31,0.6812546993292442
CA,Male,"WHITE ALONE, NOT HISPANIC OR LATINO",25 to 44 years,Some college or associate's degree,29,0.6812546993292442
CA,Female,"WHITE ALONE, NOT HISPANIC OR LATINO",25 to 44 years,Bachelor's degree or higher,79,1.0688964208838911
CA,Female,"WHITE ALONE, NOT HISPANIC OR LATINO",45 to 64 years,Less than high school diploma,80,1.0688964208838911
CA,Male,HISPANIC OR LATINO,65 years and over,Some college or associate's degree,17,2.23897167448123
CA,Male,"WHITE ALONE, NOT HISPANIC OR LATINO",45 to 64 years,High school graduate (includes equivalency),29,0.6812546993292442
CA,Male,HISPANIC OR LATINO,45 to 64 years,Some college or associate's degree,22,2.23897167448123
CA,Male,OTHER,65 years and over,Bachelor's degree or higher,13,0.5298126081050952
CA,Male,HISPANIC OR LATINO,25 to 44 years,Less than high school diploma,22,2.23897167448123
CA,Female,"WHITE ALONE, NOT HISPANIC OR LATINO",25 to 44 years,Less than high school diploma,55,1.0688964208838911
CA,Female,OTHER,65 years and over,Some college or associate's degree,38,1.6161709081090105
CA,Male,HISPANIC OR LATINO,18 to 24 years,Bachelor's degree or higher,17,2.23897167448123
CA,Female,"WHITE ALONE, NOT HISPANIC OR LATINO",45 to 64 years,High school graduate (includes equivalency),80,1.0688964208838911
CA,Female,"WHITE ALONE, NOT HISPANIC OR LATINO",25 to 44 years,High school graduate (includes equivalency),57,1.0688964208838911
CA,Male,"WHITE ALONE, NOT HISPANIC OR LATINO",18 to 24 years,Some college or associate's degree,31,0.6812546993292442
CA,Male,"WHITE ALONE, NOT HISPANIC OR LATINO",18 to 24 years,Bachelor's degree or higher,23,0.6812546993292442
CA,Female,"WHITE ALONE, NOT HISPANIC OR LATINO",25 to 44 years,High school graduate (includes equivalency),59,1.0688964208838911
CA,Male,"WHITE ALONE, NOT HISPANIC OR LATINO",65 years and over,Bachelor's degree or higher,38,0.6812546993292442
CA,Male,OTHER,25 to 44 years,Bachelor's degree or higher,11,0.5298126081050952
CA,Male,"WHITE ALONE, NOT HISPANIC OR LATINO",45 to 64 years,Some college or associate's degree,38,0.6812546993292442
CA,Male,OTHER,18 to 24 years,Less than high school diploma,11,0.5298126081050952
CA,Male,HISPANIC OR LATINO,45 to 64 years,Bachelor's degree or higher,19,2.23897167448123
CA,Male,"WHITE ALONE, NOT HISPANIC OR LATINO",18 to 24 years,Some college or associate's degree,41,0.6812546993292442
CA,Male,"WHITE ALONE, NOT HISPANIC OR LATINO",25 to 44 years,Less than high school diploma,40,0.6812546993292442
CA,Male,HISPANIC OR LATINO,45 to 64 years,Some college or associate's degree,13,2.23897167448123
CA,Male,"WHITE ALONE, NOT HISPANIC OR LATINO",25 to 44 years,High school graduate (includes equivalency),27,0.6812546993292442
CA,Male,HISPANIC OR LATINO,45 to 64 years,Less than high school diploma,21,2.23897167448123
CA,Male,"WHITE ALONE, NOT HISPANIC OR LATINO",45 to 64 years,Bachelor's degree or higher,36,0.6812546993292442
CA,Female,"WHITE ALONE, NOT HISPANIC OR LATINO",18 to 24 years,Some college or associate's degree,49,1.0688964208838911
CA,Male,HISPANIC OR LATINO,65 years and over,Less than high school diploma,19,2.23897167448123
CA,Female,HISPANIC OR LATINO,65 years and over,Bachelor's degree or higher,34,5.106844133308608
CA,Female,"WHITE ALONE, NOT HISPANIC OR LATINO",45 to 64 years,Bachelor's degree or higher,72,1.0688964208838911
CA,Male,OTHER,45 to 64 years,Some college or associate's degree,10,0.5298126081050952
CA,Male,HISPANIC OR LATINO,45 to 64 years,High school graduate (includes equivalency),17,2.23897167448123
CA,Male,"WHITE ALONE, NOT HISPANIC OR LATINO",25 to 44 years,Less than high school diploma,37,0.6812546993292442
CA,Male,"WHITE ALONE, NOT HISPANIC OR LATINO",25 to 44 years,Less than high school diploma,33,0.6812546993292442
CA,Female,HISPANIC OR LATINO,45 to 64 years,Some college or associate's degree,35,5.106844133308608
CA,Female,"WHITE ALONE, NOT HISPANIC OR LATINO",25 to 44 years,Less than high school diploma,54,1.0688964208838911
CA,Male,"WHITE ALONE, NOT HISPANIC OR LATINO",25 to 44 years,Some college or associate's degree,29,0.6812546993292442
CA,Male,"WHITE ALONE, NOT HISPANIC OR LATINO",65 years and over,Less than high school diploma,26,0.6812546993292442
CA,Female,BLACK OR AFRICAN AMERICAN ALONE,45 to 64 years,High school graduate (includes equivalency),39,4.461840267249997
CA,Female,"WHITE ALONE, NOT HISPANIC OR LATINO",45 to 64 years,Some college or associate's degree,68,1.0688964208838911
CA,Male,HISPANIC OR LATINO,25 to 44 years,Bachelor's degree or higher,16,2.23897167448123
CA,Female,"WHITE ALONE, NOT HISPANIC OR LATINO",65 years and over,High school graduate (includes equivalency),71,1.0688964208838911
CA,Male,"WHITE ALONE, NOT HISPANIC OR LATINO",45 to 64 years,Some college or associate's degree,40,0.6812546993292442
CA,Female,"WHITE ALONE, NOT HISPANIC OR LATINO",45 to 64 years,Bachelor's degree or higher,51,1.0688964208838911
CA,Male,"WHITE ALONE, NOT HISPANIC OR LATINO",25 to 44 years,Some college or associate's degree,34,0.6812546993292442
CA,Male,"WHITE ALONE, NOT HISPANIC OR LATINO",25 to 44 years,Bachelor's degree or higher,33,0.6812546993292442
CA,Male,"WHITE ALONE, NOT HISPANIC OR LATINO",25 to 44 years,Bachelor's degree or higher,38,0.6812546993292442
CA,Female,HISPANIC OR LATINO,45 to 64 years,Some college or associate's degree,36,5.106844133308608
CA,Female,"WHITE ALONE, NOT HISPANIC OR LATINO",25 to 44 years,Bachelor's degree or higher,58,1.0688964208838911
CA,Female,HISPANIC OR LATINO,25 to 44 years,Some college or associate's degree,36,5.106844133308608
CA,Male,HISPANIC OR LATINO,45 to 64 years,Bachelor's degree or higher,28,2.23897167448123
CA,Male,"WHITE ALONE, NOT HISPANIC OR LATINO",65 years and over,High school graduate (includes equivalency),37,0.6812546993292442
CA,Female,"WHITE ALONE, NOT HISPANIC OR LATINO",45 to 64 years,High school graduate (includes equivalency),61,1.0688964208838911
CA,Female,"WHITE ALONE, NOT HISPANIC OR LATINO",45 to 64 years,High school graduate (includes equivalency),52,1.0688964208838911
CA,Female,HISPANIC OR LATINO,45 to 64 years,Bachelor's degree or higher,44,5.106844133308608
CA,Male,"WHITE ALONE, NOT HISPANIC OR LATINO",25 to 44 years,Bachelor's degree or higher,45,0.6812546993292442
CA,Male,"WHITE ALONE, NOT HISPANIC OR LATINO",25 to 44 years,Some college or associate's degree,37,0.6812546993292442
CA,Male,"WHITE ALONE, NOT HISPANIC OR LATINO",45 to 64 years,Bachelor's degree or higher,37,0.6812546993292442
CA,Male,"WHITE ALONE, NOT HISPANIC OR LATINO",25 to 44 years,Bachelor's degree or higher,31,0.6812546993292442
CA,Female,"WHITE ALONE, NOT HISPANIC OR LATINO",45 to 64 years,High school graduate (includes equivalency),67,1.0688964208838911
CA,Male,"WHITE ALONE, NOT HISPANIC OR LATINO",65 years and over,High school graduate (includes equivalency),33,0.6812546993292442
CA,Male,"WHITE ALONE, NOT HISPANIC OR LATINO",65 years and over,Bachelor's degree or higher,33,0.6812546993292442
CA,Male,HISPANIC OR LATINO,45 to 64 years,Some college or associate's degree,14,2.23897167448123
CA,Male,"WHITE ALONE, NOT HISPANIC OR LATINO",45 to 64 years,Some college or associate's degree,43,0.6812546993292442
CA,Male,"WHITE ALONE, NOT HISPANIC OR LATINO",18 to 24 years,Some college or associate's degree,36,0.6812546993292442
CA,Female,"WHITE ALONE, NOT HISPANIC OR LATINO",65 years and over,High school graduate (includes equivalency),58,1.0688964208838911
CA,Female,"WHITE ALONE, NOT HISPANIC OR LATINO",65 years and over,High school graduate (includes equivalency),61,1.0688964208838911
CA,Female,"WHITE ALONE, NOT HISPANIC OR LATINO",65 years and over,Some college or associate's degree,60,1.0688964208838911
CA,Female,"WHITE ALONE, NOT HISPANIC OR LATINO",25 to 44 years,Some college or associate's degree,50,1.0688964208838911
CA,Male,"WHITE ALONE, NOT HISPANIC OR LATINO",25 to 44 years,Some college or associate's degree,44,0.6812546993292442
CA,Female,"WHITE ALONE, NOT HISPANIC OR LATINO",65 years and over,Bachelor's degree or higher,53,1.0688964208838911
CA,Male,"WHITE ALONE, NOT HISPANIC OR LATINO",45 to 64 years,Less than high school diploma,39,0.6812546993292442
CA,Male,"WHITE ALONE, NOT HISPANIC OR LATINO",65 years and over,Some college or associate's degree,30,0.6812546993292442
CA,Male,"WHITE ALONE, NOT HISPANIC OR LATINO",45 to 64 years,High school graduate (includes equivalency),37,0.6812546993292442
CA,Female,"WHITE ALONE, NOT HISPANIC OR LATINO",45 to 64 years,Some college or associate's degree,54,1.0688964208838911
CA,Male,"WHITE ALONE, NOT HISPANIC OR LATINO",65 years and over,Bachelor's degree or higher,36,0.6812546993292442
CA,Male,"WHITE ALONE, NOT HISPANIC OR LATINO",45 to 64 years,High school graduate (includes equivalency),38,0.6812546993292442
CA,Male,"WHITE ALONE, NOT HISPANIC OR LATINO",65 years and over,Some college or associate's degree,39,0.6812546993292442
CA,Female,"WHITE ALONE, NOT HISPANIC OR LATINO",65 years and over,High school graduate (includes equivalency),59,1.0688964208838911
CA,Male,BLACK OR AFRICAN AMERICAN ALONE,45 to 64 years,Bachelor's degree or higher,9,3.4827719211689754
CA,Male,"WHITE ALONE, NOT HISPANIC OR LATINO",65 years and over,High school graduate (includes equivalency),32,0.6812546993292442
CA,Female,"WHITE ALONE, NOT HISPANIC OR LATINO",65 years and over,High school graduate (includes equivalency),67,1.0688964208838911
CA,Female,"WHITE ALONE, NOT HISPANIC OR LATINO",65 years and over,Some college or associate's degree,61,1.0688964208838911
CA,Male,HISPANIC OR LATINO,25 to 44 years,Some college or associate's degree,7,2.23897167448123
CA,Male,"WHITE ALONE, NOT HISPANIC OR LATINO",25 to 44 years,Some college or associate's degree,30,0.6812546993292442
CA,Female,"WHITE ALONE, NOT HISPANIC OR LATINO",18 to 24 years,Bachelor's degree or higher,62,1.0688964208838911
CA,Female,OTHER,18 to 24 years,Some college or associate's degree,38,1.6161709081090105
CA,Female,"WHITE ALONE, NOT HISPANIC OR LATINO",25 to 44 years,High school graduate (includes equivalency),58,1.0688964208838911
CA,Male,"WHITE ALONE, NOT HISPANIC OR LATINO",18 to 24 years,Some college or associate's degree,34,0.6812546993292442
CA,Male,"WHITE ALONE, NOT HISPANIC OR LATINO",45 to 64 years,Some college or associate's degree,28,0.6812546993292442
CA,Female,"WHITE ALONE, NOT HISPANIC OR LATINO",18 to 24 years,Bachelor's degree or higher,70,1.0688964208838911
CA,Female,"WHITE ALONE, NOT HISPANIC OR LATINO",65 years and over,Less than high school diploma,70,1.0688964208838911
CA,Male,"WHITE ALONE, NOT HISPANIC OR LATINO",18 to 24 years,Bachelor's degree or higher,36,0.6812546993292442
CA,Male,"WHITE ALONE, NOT HISPANIC OR LATINO",25 to 44 years,Less than high school diploma,28,0.6812546993292442
CA,Female,"WHITE ALONE, NOT HISPANIC OR LATINO",45 to 64 years,Less than high school diploma,59,1.0688964208838911
CA,Female,"WHITE ALONE, NOT HISPANIC OR LATINO",25 to 44 years,Bachelor's degree or higher,72,1.0688964208838911
CA,Male,"WHITE ALONE, NOT HISPANIC OR LATINO",45 to 64 years,Bachelor's degree or higher,39,0.6812546993292442
CA,Male,"WHITE ALONE, NOT HISPANIC OR LATINO",65 years and over,Bachelor's degree or higher,29,0.6812546993292442
CA,Female,OTHER,18 to 24 years,Some college or associate's degree,34,1.6161709081090105
CA,Female,"WHITE ALONE, NOT HISPANIC OR LATINO",25 to 44 years,High school graduate (includes equivalency),71,1.0688964208838911
CA,Male,HISPANIC OR LATINO,45 to 64 years,High school graduate (includes equivalency),9,2.23897167448123
CA,Female,HISPANIC OR LATINO,45 to 64 years,Less than high school diploma,36,5.106844133308608
CA,Male,"WHITE ALONE, NOT HISPANIC OR LATINO",45 to 64 years,Some college or associate's degree,34,0.6812546993292442
CA,Male,BLACK OR AFRICAN AMERICAN ALONE,45 to 64 years,Bachelor's degree or higher,11,3.4827719211689754
CA,Male,"WHITE ALONE, NOT HISPANIC OR LATINO",25 to 44 years,Bachelor's degree or higher,42,0.6812546993292442
CA,Female,"WHITE ALONE, NOT HISPANIC OR LATINO",65 years and over,High school graduate (includes equivalency),58,1.0688964208838911
CA,Male,"WHITE ALONE, NOT HISPANIC OR LATINO",65 years and over,High school graduate (includes equivalency),34,0.6812546993292442
CA,Male,"WHITE ALONE, NOT HISPANIC OR LATINO",45 to 64 years,Some college or associate's degree,28,0.6812546993292442
CA,Male,HISPANIC OR LATINO,65 years and over,Some college or associate's degree,17,2.23897167448123
CA,Male,"WHITE ALONE, NOT HISPANIC OR LATINO",45 to 64 years,Bachelor's degree or higher,30,0.6812546993292442
CA,Female,OTHER,45 to 64 years,High school graduate (includes equivalency),36,1.6161709081090105
CA,Female,HISPANIC OR LATINO,18 to 24 years,High school graduate (includes equivalency),39,5.106844133308608
CA,Male,OTHER,45 to 64 years,Some college or associate's degree,20,0.5298126081050952
CA,Female,"WHITE ALONE, NOT HISPANIC OR LATINO",25 to 44 years,High school graduate (includes equivalency),52,1.0688964208838911
